Rating,Review,cleaned_text,predicted_label
4,I love to haier TV all future and picture quality good but only flipkart installation to very lateI only disappointed to flipkart otherwise TV was far goodREAD MORE,i love to haier tv all future and picture quality good but only flipkart installation to very latei only disappointed to flipkart otherwise tv was far good,OR
5,AwesomeREAD MORE,awesome,OR
4,Value  for moneyREAD MORE,value for money,CG
5,good picREAD MORE,good pic,OR
5,"You can trust on this tv in terms  of  pictures quality and sound  quality,  connectivity.  You can go for this .READ MORE",you can trust on this tv in terms of pictures quality and sound quality connectivity you can go for this,CG
5,Thanks for same day installation . satisfied with the picture quality.READ MORE,thanks for same day installation satisfied with the picture quality,OR
5,Nice product worth of moneyREAD MORE,nice product worth of money,OR
3,Good but screen mirroring is slow and to turn tv on it takes time moreREAD MORE,good but screen mirroring is slow and to turn tv on it takes time more,CG
5,Nice product but sound clarity is not like Dolby digitalREAD MORE,nice product but sound clarity is not like dolby digital,OR
1,Very bad product... display issue with in a week.READ MORE,very bad product display issue with in a week,OR
5,Awesome tv and value for moneyREAD MORE,awesome tv and value for money,OR
